title,address,acess,age,floor,fee,manegement_fee,deposit,qratuity,madori,menseki
エアデージ田園調布,東京都大田区田園調布本町, 東急池上線/雪が谷大塚駅 歩8分 東急東横線/多摩川駅 歩12分 東急東横線/田園調布駅 歩19分 , 築7年 6階建 ,             3階,11万円,5000円,11万円,11万円,1LDK,35.02m2
Ｏｐｕｓ　ｒｅｓｉｄｅｎｃｅ　Ｍｅｇｕｒｏ　Ｓｅｎｚｏｋｕ,東京都大田区北千束２, 東急目黒線/洗足駅 歩5分 東急大井町線/北千束駅 歩5分 東急目黒線/大岡山駅 歩12分 , 築4年 7階建 ,             1階,26.9万円,15000円,26.9万円,-,2SLDK,63.24m2
Ｏｐｕｓ　ｒｅｓｉｄｅｎｃｅ　Ｍｅｇｕｒｏ　Ｓｅｎｚｏｋｕ,東京都大田区北千束２, 東急目黒線/洗足駅 歩5分 東急大井町線/北千束駅 歩5分 東急目黒線/大岡山駅 歩12分 , 築4年 7階建 ,             3階,36.5万円,15000円,36.5万円,-,4LDK,78.18m2
Ｏｐｕｓ　ｒｅｓｉｄｅｎｃｅ　Ｍｅｇｕｒｏ　Ｓｅｎｚｏｋｕ,東京都大田区北千束２, 東急目黒線/洗足駅 歩5分 東急大井町線/北千束駅 歩5分 東急目黒線/大岡山駅 歩12分 , 築4年 7階建 ,             3階,37.5万円,15000円,37.5万円,-,4LDK,78.18m2
ドゥーエ西馬込,東京都大田区中馬込３, 都営浅草線/西馬込駅 歩8分 東急池上線/長原駅 歩20分 東急大井町線/荏原町駅 歩23分 , 築5年 6階建 ,             3階,17.8万円,12000円,17.8万円,17.8万円,2LDK,47.51m2
ドゥーエ西馬込,東京都大田区中馬込３, 都営浅草線/西馬込駅 歩8分 東急池上線/長原駅 歩20分 東急大井町線/荏原町駅 歩23分 , 築5年 6階建 ,             5階,19.3万円,12000円,19.3万円,19.3万円,2LDK,53.86m2
マンション三笠,東京都大田区大森西２, 京急本線/平和島駅 歩6分 京急本線/大森町駅 歩9分 ＪＲ京浜東北線/大森駅 歩20分 , 築24年 3階建 ,             3階,9.5万円,3000円,19万円,-,1LDK,34m2
フローリッシュSI,東京都大田区大森中２, 京急本線/梅屋敷駅 歩9分 京急本線/大森町駅 歩11分 京急本線/京急蒲田駅 歩19分 , 築13年 10階建 ,             5階,16.7万円,11000円,16.7万円,16.7万円,2LDK,54.8m2
フローリッシュSI,東京都大田区大森中２, 京急本線/梅屋敷駅 歩9分 京急本線/大森町駅 歩11分 京急本線/京急蒲田駅 歩19分 , 築13年 10階建 ,             6階,16.8万円,11000円,16.8万円,16.8万円,2LDK,54.8m2
アジールコート武蔵新田,東京都大田区矢口２, 東急多摩川線/矢口渡駅 歩8分 東急多摩川線/武蔵新田駅 歩9分 東急多摩川線/下丸子駅 歩17分 , 築3年 7階建 ,             1階,8.5万円,10000円,8.5万円,-,1K,25.33m2
アジールコート武蔵新田,東京都大田区矢口２, 東急多摩川線/矢口渡駅 歩8分 東急多摩川線/武蔵新田駅 歩9分 東急多摩川線/下丸子駅 歩17分 , 築3年 7階建 ,             1階,8.5万円,10000円,8.5万円,-,1K,25.33m2
アジールコート武蔵新田,東京都大田区矢口２, 東急多摩川線/矢口渡駅 歩8分 東急多摩川線/武蔵新田駅 歩9分 東急多摩川線/下丸子駅 歩17分 , 築3年 7階建 ,             2階,8.7万円,10000円,8.7万円,-,1K,25.2m2
アジールコート武蔵新田,東京都大田区矢口２, 東急多摩川線/矢口渡駅 歩8分 東急多摩川線/武蔵新田駅 歩9分 東急多摩川線/下丸子駅 歩17分 , 築3年 7階建 ,             3階,8.8万円,10000円,8.8万円,-,1K,25.2m2
アジールコート武蔵新田,東京都大田区矢口２, 東急多摩川線/矢口渡駅 歩8分 東急多摩川線/武蔵新田駅 歩9分 東急多摩川線/下丸子駅 歩17分 , 築3年 7階建 ,             3階,8.8万円,10000円,8.8万円,-,1K,25.2m2
