物件名,住所,アクセス,最寄駅1,最寄駅1からの時間(分),最寄駅2,最寄駅2からの時間(分),最寄駅3,最寄駅3からの時間(分),築年数(年),建物の階数,階数,家賃(円),管理費(円),敷金(円),礼金(円),間取り,面積(m2)
京急本線 雑色駅 6階建 築1年,東京都大田区東六郷１, 京急本線/雑色駅 歩5分 京急本線/京急蒲田駅 歩16分 京急空港線/糀谷駅 歩15分 ,京急本線/雑色駅駅,5,京急本線/京急蒲田駅駅,16,京急空港線/糀谷駅駅,15,1,6,2,112000,10000,112000,112000,1LDK,31.95
LAUREL EAST GARDEN,東京都大田区中馬込１, 都営浅草線/馬込駅 歩7分 東急大井町線/荏原町駅 歩13分 東急池上線/長原駅 歩16分 ,都営浅草線/馬込駅駅,7,東急大井町線/荏原町駅駅,13,東急池上線/長原駅駅,16,10,3,2,142000,5000,142000,142000,1LDK,41.9
クレヴィスタ大森西,東京都大田区大森西４, 京急本線/大森町駅 歩8分 京急本線/梅屋敷駅 歩12分 ＪＲ京浜東北線/蒲田駅 歩19分 ,京急本線/大森町駅駅,8,京急本線/梅屋敷駅駅,12,ＪＲ京浜東北線/蒲田駅駅,19,9,7,1,82000,15000,0,0,1K,25.74
クレヴィスタ大森西,東京都大田区大森西４, 京急本線/大森町駅 歩8分 京急本線/梅屋敷駅 歩12分 ＪＲ京浜東北線/蒲田駅 歩19分 ,京急本線/大森町駅駅,8,京急本線/梅屋敷駅駅,12,ＪＲ京浜東北線/蒲田駅駅,19,9,7,1,82000,15000,0,0,1K,25.62
クレヴィスタ大森西,東京都大田区大森西４, 京急本線/大森町駅 歩8分 京急本線/梅屋敷駅 歩12分 ＪＲ京浜東北線/蒲田駅 歩19分 ,京急本線/大森町駅駅,8,京急本線/梅屋敷駅駅,12,ＪＲ京浜東北線/蒲田駅駅,19,9,7,2,83000,15000,0,0,1K,25.62
クレヴィスタ大森西,東京都大田区大森西４, 京急本線/大森町駅 歩8分 京急本線/梅屋敷駅 歩12分 ＪＲ京浜東北線/蒲田駅 歩19分 ,京急本線/大森町駅駅,8,京急本線/梅屋敷駅駅,12,ＪＲ京浜東北線/蒲田駅駅,19,9,7,5,95000,3000,0,0,1K,25.62
クレヴィスタ大森西,東京都大田区大森西４, 京急本線/大森町駅 歩8分 京急本線/梅屋敷駅 歩12分 ＪＲ京浜東北線/蒲田駅 歩19分 ,京急本線/大森町駅駅,8,京急本線/梅屋敷駅駅,12,ＪＲ京浜東北線/蒲田駅駅,19,9,7,6,130000,2000,130000,130000,1LDK,43.37
Mia CasaII,東京都大田区西蒲田５, ＪＲ京浜東北線/蒲田駅 歩6分 京急本線/京急蒲田駅 歩13分 京急本線/梅屋敷駅 歩15分 ,ＪＲ京浜東北線/蒲田駅駅,6,京急本線/京急蒲田駅駅,13,京急本線/梅屋敷駅駅,15,8,8,1,133000,12000,133000,133000,1LDK,35.0
プレミアムキューブ武蔵新田,東京都大田区矢口２, 東急多摩川線/武蔵新田駅 歩9分 東急多摩川線/矢口渡駅 歩14分 東急池上線/千鳥町駅 歩18分 ,東急多摩川線/武蔵新田駅駅,9,東急多摩川線/矢口渡駅駅,14,東急池上線/千鳥町駅駅,18,5,5,3,92500,15000,0,0,2K,25.8
レジディア池上II,東京都大田区池上５, 東急池上線/池上駅 歩8分 ＪＲ京浜東北線/蒲田駅 歩19分 東急池上線/蓮沼駅 歩17分 ,東急池上線/池上駅駅,8,ＪＲ京浜東北線/蒲田駅駅,19,東急池上線/蓮沼駅駅,17,8,9,5,138000,10000,138000,138000,1LDK,39.78
ルーブル東蒲田六番館,東京都大田区東蒲田１, 京急本線/梅屋敷駅 歩5分 京急本線/京急蒲田駅 歩11分 京急空港線/糀谷駅 歩15分 ,京急本線/梅屋敷駅駅,5,京急本線/京急蒲田駅駅,11,京急空港線/糀谷駅駅,15,11,5,2,75000,7000,0,0,1K,21.58
ルーブル東蒲田六番館,東京都大田区東蒲田１, 京急本線/梅屋敷駅 歩5分 京急本線/京急蒲田駅 歩11分 京急空港線/糀谷駅 歩15分 ,京急本線/梅屋敷駅駅,5,京急本線/京急蒲田駅駅,11,京急空港線/糀谷駅駅,15,11,5,1,75000,9500,0,75000,1K,21.24
ルーブル東蒲田六番館,東京都大田区東蒲田１, 京急本線/梅屋敷駅 歩5分 京急本線/京急蒲田駅 歩11分 京急空港線/糀谷駅 歩15分 ,京急本線/梅屋敷駅駅,5,京急本線/京急蒲田駅駅,11,京急空港線/糀谷駅駅,15,11,5,3,130000,15000,0,130000,2DK,39.98
ルーブル東蒲田六番館,東京都大田区東蒲田１, 京急本線/梅屋敷駅 歩5分 京急本線/京急蒲田駅 歩11分 京急空港線/糀谷駅 歩15分 ,京急本線/梅屋敷駅駅,5,京急本線/京急蒲田駅駅,11,京急空港線/糀谷駅駅,15,11,5,3,145500,11500,0,145500,2DK,42.0
東急多摩川線 鵜の木駅 5階建 築3年,東京都大田区鵜の木２, 東急多摩川線/鵜の木駅 歩5分 東急池上線/久が原駅 歩17分 ＪＲ南武線/平間駅 歩27分 ,東急多摩川線/鵜の木駅駅,5,東急池上線/久が原駅駅,17,ＪＲ南武線/平間駅駅,27,3,5,1,129000,10000,129000,129000,2DK,35.47
東急多摩川線 鵜の木駅 5階建 築3年,東京都大田区鵜の木２, 東急多摩川線/鵜の木駅 歩5分 東急池上線/久が原駅 歩17分 ＪＲ南武線/平間駅 歩27分 ,東急多摩川線/鵜の木駅駅,5,東急池上線/久が原駅駅,17,ＪＲ南武線/平間駅駅,27,3,5,3,130000,10000,130000,130000,2DK,35.47
東急多摩川線 鵜の木駅 5階建 築3年,東京都大田区鵜の木２, 東急多摩川線/鵜の木駅 歩5分 東急池上線/久が原駅 歩17分 ＪＲ南武線/平間駅 歩27分 ,東急多摩川線/鵜の木駅駅,5,東急池上線/久が原駅駅,17,ＪＲ南武線/平間駅駅,27,3,5,4,132000,10000,132000,132000,2DK,35.47
東急多摩川線 鵜の木駅 5階建 築3年,東京都大田区鵜の木２, 東急多摩川線/鵜の木駅 歩5分 東急池上線/久が原駅 歩17分 ＪＲ南武線/平間駅 歩27分 ,東急多摩川線/鵜の木駅駅,5,東急池上線/久が原駅駅,17,ＪＲ南武線/平間駅駅,27,3,5,3,133000,10000,133000,133000,2DK,35.47
東急多摩川線 鵜の木駅 5階建 築3年,東京都大田区鵜の木２, 東急多摩川線/鵜の木駅 歩5分 東急池上線/久が原駅 歩17分 ＪＲ南武線/平間駅 歩27分 ,東急多摩川線/鵜の木駅駅,5,東急池上線/久が原駅駅,17,ＪＲ南武線/平間駅駅,27,3,5,4,136000,10000,136000,136000,2DK,35.47
モニュメントスクウェア 参番館,東京都大田区南馬込２, 都営浅草線/西馬込駅 歩12分 ＪＲ京浜東北線/大森駅 歩15分 都営浅草線/馬込駅 歩14分 ,都営浅草線/西馬込駅駅,12,ＪＲ京浜東北線/大森駅駅,15,都営浅草線/馬込駅駅,14,23,3,1,155000,12000,0,77500,3LDK,60.04
モニュメントスクウェア 参番館,東京都大田区南馬込２, 都営浅草線/西馬込駅 歩12分 ＪＲ京浜東北線/大森駅 歩15分 都営浅草線/馬込駅 歩14分 ,都営浅草線/西馬込駅駅,12,ＪＲ京浜東北線/大森駅駅,15,都営浅草線/馬込駅駅,14,23,3,2,160000,12000,0,80000,3LDK,60.04
サンライズハイツ池上,東京都大田区池上７, 東急多摩川線/矢口渡駅 歩8分 東急池上線/池上駅 歩9分 東急多摩川線/武蔵新田駅 歩10分 ,東急多摩川線/矢口渡駅駅,8,東急池上線/池上駅駅,9,東急多摩川線/武蔵新田駅駅,10,33,1,2,220000,20000,220000,220000,4LDK,101.57
都営浅草線 西馬込駅 5階建 築7年,東京都大田区仲池上２, 都営浅草線/西馬込駅 歩7分 東急池上線/池上駅 歩15分 東急池上線/千鳥町駅 歩20分 ,都営浅草線/西馬込駅駅,7,東急池上線/池上駅駅,15,東急池上線/千鳥町駅駅,20,7,5,2,78000,15000,0,117000,1K,25.35
ライブコート大鳥居,東京都大田区萩中３, 京急空港線/大鳥居駅 歩3分 京急空港線/穴守稲荷駅 歩11分 京急空港線/糀谷駅 歩13分 ,京急空港線/大鳥居駅駅,3,京急空港線/穴守稲荷駅駅,11,京急空港線/糀谷駅駅,13,16,6,2,82000,8000,82000,82000,1K,21.55
ライブコート大鳥居,東京都大田区萩中３, 京急空港線/大鳥居駅 歩3分 京急空港線/穴守稲荷駅 歩11分 京急空港線/糀谷駅 歩13分 ,京急空港線/大鳥居駅駅,3,京急空港線/穴守稲荷駅駅,11,京急空港線/糀谷駅駅,13,16,6,4,82000,8000,82000,82000,1K,20.95
ライブコート大鳥居,東京都大田区萩中３, 京急空港線/大鳥居駅 歩3分 京急空港線/穴守稲荷駅 歩11分 京急空港線/糀谷駅 歩13分 ,京急空港線/大鳥居駅駅,3,京急空港線/穴守稲荷駅駅,11,京急空港線/糀谷駅駅,13,16,6,4,83000,8000,83000,83000,1K,21.44
ライブコート大鳥居,東京都大田区萩中３, 京急空港線/大鳥居駅 歩3分 京急空港線/穴守稲荷駅 歩11分 京急空港線/糀谷駅 歩13分 ,京急空港線/大鳥居駅駅,3,京急空港線/穴守稲荷駅駅,11,京急空港線/糀谷駅駅,13,16,6,4,87000,8000,87000,87000,1K,26.04
ライブコート大鳥居,東京都大田区萩中３, 京急空港線/大鳥居駅 歩3分 京急空港線/穴守稲荷駅 歩11分 京急空港線/糀谷駅 歩13分 ,京急空港線/大鳥居駅駅,3,京急空港線/穴守稲荷駅駅,11,京急空港線/糀谷駅駅,13,16,6,3,116000,10000,116000,116000,1LDK,37.14
京急本線 雑色駅 5階建 築11年,東京都大田区仲六郷３, 京急本線/雑色駅 歩7分 京急本線/六郷土手駅 歩14分 ＪＲ京浜東北線/蒲田駅 歩21分 ,京急本線/雑色駅駅,7,京急本線/六郷土手駅駅,14,ＪＲ京浜東北線/蒲田駅駅,21,11,5,1,78000,8000,0,78000,1K,25.88
京急本線 雑色駅 5階建 築11年,東京都大田区仲六郷３, 京急本線/雑色駅 歩7分 京急本線/六郷土手駅 歩14分 ＪＲ京浜東北線/蒲田駅 歩21分 ,京急本線/雑色駅駅,7,京急本線/六郷土手駅駅,14,ＪＲ京浜東北線/蒲田駅駅,21,11,5,2,73000,15000,0,73000,1K,25.88
ベルグレードOZ,東京都大田区仲六郷３, 京急本線/雑色駅 歩7分 京急本線/六郷土手駅 歩15分 ＪＲ京浜東北線/蒲田駅 歩21分 ,京急本線/雑色駅駅,7,京急本線/六郷土手駅駅,15,ＪＲ京浜東北線/蒲田駅駅,21,11,5,2,75000,15000,0,75000,1K,25.88
ＡＸＡＳ南蒲田ＡｓｙｌＣｏｕｒｔ,東京都大田区南蒲田２, 京急空港線/糀谷駅 歩8分 京急本線/京急蒲田駅 歩12分 ＪＲ京浜東北線/蒲田駅 歩19分 ,京急空港線/糀谷駅駅,8,京急本線/京急蒲田駅駅,12,ＪＲ京浜東北線/蒲田駅駅,19,10,5,2,83500,8000,83500,83500,1K,25.52
ＡＸＡＳ南蒲田ＡｓｙｌＣｏｕｒｔ,東京都大田区南蒲田２, 京急空港線/糀谷駅 歩8分 京急本線/京急蒲田駅 歩12分 ＪＲ京浜東北線/蒲田駅 歩19分 ,京急空港線/糀谷駅駅,8,京急本線/京急蒲田駅駅,12,ＪＲ京浜東北線/蒲田駅駅,19,10,5,3,85500,8000,85500,85500,1K,25.8
